Deltam	7.50E-05	1.90E-06	7.50E-05	3.36E-06	7.50E-05	2.94E-06	7.50E-05	1.82E-06
Theta	0.307	0.012	0.305	0.088	0.307	0.012	3.07E-01	1.20E-02
Reac osc PPO	49.15238424	2.13110538	49.2933	2.02478	49.1713	2.02027	49.1713	2.02027
Reac osc bisMSB	90.58297842	3.93361974	90.8229	3.73065	90.6065	3.72269	90.6065	3.72269
Reac osc total	139.7353627	6.06472512	140.116	5.75543	139.778	5.74295	139.778	5.74295
Geo U PPO	10.44		10.0296	5.31404	10.0342	5.36784	10.0342	5.36784
Geo U bisMSB	18.9		18.1395	9.61096	18.1478	9.70824	18.1478	9.70824
Geo U total	29.34		28.1691	14.925	28.182	15.0761	28.182	15.0761
Geo Th PPO	2.75		2.66291	1.50476	2.6635	1.51889	2.6635	1.51889
Geo Th bisMSB	5.01		4.83064	2.7297	4.8317	2.75533	4.8317	2.75533
Geo Th total	7.76		7.49355	4.23446	7.4952	4.27422	7.4952	4.27422
Geo Ratio PPO	3.7	1.3	3.76641	1.30687	3.7673	1.30976	3.7673	1.30976
Geo Ratio bisMSB	3.7	1.3	3.75509	1.30294	3.75599	1.30583	3.75599	1.30583
Geo Ratio total	3.7	1.3	3.75911	0.96	3.76001	0.962128	3.76001	0.962128
AN CS PPO	0.92	0.28	0.959529	0.283621	0.96	0.283743	0.96	0.283743
AN CS bisMSB	1.56	0.47	1.65918	0.490427	1.66	0.49064	1.66	0.49064
AN CS total	2.48	0.75	2.61871	0.774048	2.62	0.774383	2.62	0.774383
AN OE PPO	3.43	3.43	3.59704	1.41318	3.6	1.41903	3.6	1.41903
AN OE bisMSB	5.86	5.86	6.2049	2.43773	6.21	2.44783	6.21	2.44783
AN OE total	9.29	9.29	9.80194	3.85091	9.81	3.86687	9.81	3.86687
AN PR PPO	31.17	9.35	31.2276	7.25951	31.2565	7.29595	31.2565	7.29595
AN PR bisMSB	53.78	16.13	54.1032	12.5774	54.1539	12.6407	54.1539	12.6407
AN PR total	84.95	25.48	85.3308	19.8369	85.4104	19.9367	85.4104	19.9367
BiPo like PPO	2.86	2.38	2.85423	2.17941	2.86	2.18397	2.86	2.18397
BiPo like bisMSB	4.6	3.48	4.59073	3.50535	4.6	3.51267	4.6	3.51267
BiPo like total	7.46	5.86	7.44496	5.68476	7.46	5.69664	7.46	5.69664
Atmos PPO	1.58	1.07	1.58688	0.967249	1.58982	0.969266	1.58982	0.969266
Atmos bisMSB	2.89	1.96	2.78754	1.69909	2.79271	1.70263	2.79271	1.70263
Atmos total	4.47	3.03	4.37442	2.66634	4.38253	2.6719	4.38253	2.6719
E Scale PPO	1	0.011	1	0.00998979	1	0.0101476	1	0.0101476
E Scale bisMSB	1	0.01	1	0.00867123	1	0.00898209	1	0.00898209
Birk's PPO	0.074	0.004	0.074	0.00299258	0.074	0.00341553	0.074	0.00341553
Birk's bisMSB	0.074	0.004	0.074	0.00259695	7.40E-02	0.00305871	0.074	0.00305871
E Conv PPO	0	0.044	3.70E-08	0.0358454	7.56E-07	0.0358274	7.56E-07	0.0358274
E Conv bisMSB	0	0.049	3.90E-08	0.039905	7.55E-07	0.0398849	7.55E-07	0.0398849
E Scale PR PPO	1	0.03	1	0.0291216	1	0.0292876	1.00E+00	0.0292876
E Scale PR bisMSB	1	0.03	1	0.0286991	1	0.0289429	1	0.0289429